latitude	longitude	data_inserimento	bicycle_parking	capacity	covered	access	addr:city	addr:street	addr:housenumber	note	precisione	controllato	immagine	path	url
44.492.411	11.364.782	2018-02-12T11:14:55.000+01:00	wide_stands	2	no	yes	Bologna	Via Giuseppe Bentivogli	108	Di fronte farmacia, sull'altro lato della strada    Alcuni anelli sono rotti Angolo marconi Angolo via marconi	0		15181067980011182135224-17_20_7.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15181067980011182135224-17_20_7.jpg
44.492.288	113.649	2018-02-12T11:17:11.000+01:00	wide_stands	4	no	yes	Bologna	Via Giuseppe Massarenti	34	3659	0		1518106951003237999352-17_22_38.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518106951003237999352-17_22_38.jpg
44.490.532	11.372.352	2018-02-12T11:19:30.000+01:00	wide_stands	4	no	yes	Bologna	Via Pietro Mengoli	32	Di fronte al civico 6a, anello tqgliato	0		IMAG0692-17_33_1.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/IMAG0692-17_33_1.jpg
44.489.924	11.371.922	2018-02-12T11:20:47.000+01:00	wide_stands	12	no	yes	Bologna	Via Pietro Mengoli			0		IMAG0691-17_37_14.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/IMAG0691-17_37_14.jpg
44.495.203	11.342.094	2018-02-10T11:32:37.000+01:00	bollard	52	no	yes	Bologna	Ugo Bassi	2		9.102.000.237			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.500.028	11.339.013	2018-02-10T11:32:51.000+01:00	stands	2	no	yes	Bologna	Leopardi	1		8.5		1518258758881-1244206655-11_32_44.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518258758881-1244206655-11_32_44.jpg
44.499.738	11.338.896	2018-02-10T11:31:39.000+01:00	stands	2	no	yes	Bologna	Via Leopardi			1.872.200.012		1518258684474-2124520316-11_31_34.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518258684474-2124520316-11_31_34.jpg
44.495.122	11.341.433	2018-02-10T11:37:07.000+01:00	bollard	40	no	yes	Bologna				1.365.299.988			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.493.799	11.334.332	2018-02-10T11:37:38.000+01:00	stands	2	no	yes	Bologna	Via De'Marchi		Giíæ mappa a come parcheggio bici	1.913.699.913			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
4.450.088	1.133.912	2018-02-10T11:37:05.000+01:00	stands	10	no	yes	Bologna	Marconi	30		7.5		15182590138581118340724-11_37_0.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182590138581118340724-11_37_0.jpg
4.449.386	11.332.863	2018-02-10T11:41:04.000+01:00	stands	8	no	yes	Bologna	Via Sant'Isaia	88		1.913.599.968			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.494.295	1.133.068	2018-02-10T11:44:51.000+01:00	stands	6	no	yes	Bologna	Via Sant'Isaia	1		1.684.499.931			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
4.450.245	11.337.593	2018-02-10T11:44:59.000+01:00	stands	12	no	yes	Bologna	Del porto		Chiude la sera	8.399.999.619		15182594899082143040402-11_44_55.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182594899082143040402-11_44_55.jpg
44.501.618	11.339.328	2018-02-10T11:42:15.000+01:00	stands	6	no	yes	Bologna	Del porto		Giíæ mappata su OSM come parcheggio bici	4.800.000.191		1518259247136597744559-11_42_8.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518259247136597744559-11_42_8.jpg
44.502.864	11.344.039	2018-02-10T11:45:41.000+01:00	wall_loops	30	no	yes	Bologna	Via Galliera	52		13		1518259508307-207882095-11_45_28.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518259508307-207882095-11_45_28.jpg
44.502.808	11.336.738	2018-02-10T11:46:36.000+01:00	wall_loops	8	no	unknown	Bologna	Del porto	17		6.900.000.095		1518259571811198316747-11_46_21.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518259571811198316747-11_46_21.jpg
44.486.632	11.341.883	2018-02-10T11:43:03.000+01:00	wall_loops	6	no	yes	Bologna	Miramonte	17	Rastrelliere Non contigue	8		1518259353000115485279-11_42_58.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518259353000115485279-11_42_58.jpg
44.486.619	11.342.057	2018-02-10T11:40:25.000+01:00	wall_loops	10	no	yes	Bologna	Miramonte			6		1518259180169813387109-11_40_7.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518259180169813387109-11_40_7.jpg
44.494.835	1.134.117	2018-02-10T11:49:39.000+01:00	bollard	106	no	costumer	Bologna	Ugo Bassi		disponibili 6 su 6	1.276.799.965			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.503.153	11.344.166	2018-02-10T11:49:53.000+01:00	wall_loops	60	no	yes	Bologna	Via Galliera	31	Giíæ mappata su OSM come parcheggio bici	14		15182597637772097032540-11_49_43.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182597637772097032540-11_49_43.jpg
44.502.473	11.336.717	2018-02-10T11:48:44.000+01:00	stands	8	no	unknown	Bologna	Del porto			9.5		1518259704235-1109066382-11_48_30.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518259704235-1109066382-11_48_30.jpg
44.498.553	11.335.818	2018-02-10T11:48:10.000+01:00	wall_loops	10	no	yes	Bologna		3	Giíæ mappata su OSM come parcheggio bici	2.701.499.939		20180210_114757-11_48_4.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_114757-11_48_4.jpg
44.487.538	11.344.334	2018-02-10T11:52:38.000+01:00	bollard	16	no	yes	Bologna	Salvo d'acquisto		Alcuni anelli sono rotti	7		15182599003021028335767-11_52_2.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182599003021028335767-11_52_2.jpg
44.498.451	11.334.755	2018-02-10T11:52:43.000+01:00	wall_loops	14	no	yes	Bologna				2.674.799.919		20180210_115230-11_52_36.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_115230-11_52_36.jpg
44.486.754	11.341.953	2018-02-10T11:44:50.000+01:00	wall_loops	6	no	yes	Bologna	del falcone	74		5		image-11_44_43.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-11_44_43.jpg
44.503.419	11.344.327	2018-02-10T11:52:19.000+01:00	wall_loops	16	no	yes	Bologna	Via Galliera			11		1518259910961932037398-11_52_11.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518259910961932037398-11_52_11.jpg
44.501.487	1.133.692	2018-02-10T11:52:20.000+01:00	stands	20	no	yes	Bologna		74	Parcheggio Istituto Professionale	6		1518259924473-143969207-11_52_16.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518259924473-143969207-11_52_16.jpg
44.503.475	11.344.427	2018-02-10T11:54:32.000+01:00	wall_loops	10	no	yes	Bologna	Via Galliera			7		15182600150171085384248-11_53_52.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182600150171085384248-11_53_52.jpg
44.495.381	11.341.153	2018-02-10T11:55:20.000+01:00	bollard	12	no	yes	Bologna	Oleari		Spartitraffico in corrispondenza della porta	1.517.000.008			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.500.185	11.337.802	2018-02-10T11:55:21.000+01:00	stands	10	no	yes	Bologna		10	Alcuni anelli sono rotti, angolo Via Montegrappa	6.599.999.905		1518260096661-869542319-11_55_3.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260096661-869542319-11_55_3.jpg
44.495.709	11.340.906	2018-02-10T11:57:09.000+01:00	bollard	24	no	yes	Bologna	Via Montegrappa		2 stecche da 60 + 30	1.213.599.968			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.498.954	11.332.897	2018-02-10T11:56:47.000+01:00	wall_loops	16	no	yes	Bologna		21		2.034.399.986		20180210_115630-11_56_41.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_115630-11_56_41.jpg
