latitude	longitude	data_inserimento	bicycle_parking	capacity	covered	access	addr:city	addr:street	addr:housenumber	note	precisione	controllato	immagine	path	url
44.498.822	11.327.429	2018-02-10T11:58:27.000+01:00	stands	8	no	private	Bologna	Viale Giovanni Vicini		Pií_ stecche	3.235.699.844			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.499.073	11.337.725	2018-02-10T11:58:38.000+01:00	stands	14	no	yes	Bologna	Riva reno			8.199.999.809		1518260289997-1547585924-11_58_26.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260289997-1547585924-11_58_26.jpg
44.499.147	11.327.299	2018-02-10T12:01:14.000+01:00	wide_stands	10	no	yes	Bologna	Viale Vicini			2.073.699.951			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.495.761	11.340.626	2018-02-10T12:01:32.000+01:00	bollard	12	no	yes	Bologna	Via De' Gessi		Centralina ARPAE	1.820.400.047			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
4.450.405	11.344.411	2018-02-10T12:01:18.000+01:00	wall_loops	90	no	yes	Bologna	Piazza 20 Settembre	8		3		15182604242961577304339-12_1_6.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182604242961577304339-12_1_6.jpg
44.487.755	11.340.929	2018-02-10T12:02:58.000+01:00	bollard	8	no	yes	Bologna	Solferino			8		1518260554163175781877-12_2_51.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260554163175781877-12_2_51.jpg
44.504.095	11.344.522	2018-02-10T12:03:06.000+01:00	wall_loops	86	no	yes	Bologna	Piazza 20 Settembre			3.900.000.095		15182605511228320482-12_3_0.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182605511228320482-12_3_0.jpg
44.498.464	1.133.215	2018-02-10T11:59:50.000+01:00	wall_loops	12	no	yes	Bologna			Nike sharing	1.879.199.982		20180210_115908-11_59_45.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_115908-11_59_45.jpg
44.498.037	11.331.052	2018-02-10T12:02:32.000+01:00	wall_loops	15	no	yes	Bologna				195.359.993		20180210_120146-12_2_27.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_120146-12_2_27.jpg
44.499.002	11.327.297	2018-02-10T12:02:46.000+01:00	wide_stands	6	no	yes	Bologna	Piazza di Porta San Felice			2.159.000.015			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.501.398	1.133.589	2018-02-10T12:02:05.000+01:00	stands	8	no	yes	Bologna				5.900.000.095		1518260511303-2116749092-12_1_57.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260511303-2116749092-12_1_57.jpg
44.498.117	1.133.124	2018-02-10T12:03:21.000+01:00	wall_loops	10	no	yes	Bologna				191.609.993		20180210_120253-12_3_16.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_120253-12_3_16.jpg
44.501.477	11.336.027	2018-02-10T12:04:52.000+01:00	stands	8	no	yes	Bologna				5.900.000.095		1518260681438-108583777-12_4_48.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260681438-108583777-12_4_48.jpg
44.504.038	1.134.413	2018-02-10T12:04:31.000+01:00	stands	20	no	yes	Bologna				5		241D4611-AE39-4B1D-9233-A53DF220FAD1-12_4_25.jpeg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/241D4611-AE39-4B1D-9233-A53DF220FAD1-12_4_25.jpeg
4.450.147	11.335.845	2018-02-10T12:04:18.000+01:00	stands	14	no	yes	Bologna		28		7.599.999.905		1518260648426900912170-12_4_12.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260648426900912170-12_4_12.jpg
44.495.783	11.339.227	2018-02-10T12:05:07.000+01:00	bollard	8	no	yes	Bologna	Montegrappa			1.517.000.008			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.501.655	1.133.573	2018-02-10T12:05:33.000+01:00	stands	4	no	yes	Bologna				4.800.000.191		15182607241391895967917-12_5_29.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182607241391895967917-12_5_29.jpg
44.499.072	11.327.783	2018-02-10T12:06:08.000+01:00	wide_stands	8	no	yes	Bologna	Via San Felice			1.859.499.931			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.503.992	11.344.063	2018-02-10T12:06:00.000+01:00	wall_loops	14	no	yes	Bologna	Piazza 20 Settembre		Alcuni anelli sono rotti	5		15182607367251568731578-12_5_54.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182607367251568731578-12_5_54.jpg
44.501.565	11.335.125	2018-02-10T12:07:26.000+01:00	wall_loops	5	no	costumer	Bologna				5.400.000.095		1518260839193-510744252-12_7_24.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260839193-510744252-12_7_24.jpg
44.501.657	11.335.195	2018-02-10T12:06:58.000+01:00	wall_loops	8	no	costumer	Bologna			Interno scuola (difronte a 25f)	4.699.999.809		1518260801146-1677211815-12_6_46.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260801146-1677211815-12_6_46.jpg
44.504.061	11.343.901	2018-02-10T12:07:47.000+01:00	wall_loops	12	no	yes	Bologna	Piazza 20 Settembre			4		1518260845043-1819815805-12_7_41.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260845043-1819815805-12_7_41.jpg
44.504.176	11.344.099	2018-02-10T12:07:25.000+01:00	wall_loops	32	no	yes	Bologna			Interno scuola, di fronte a civico 19a	5		image-12_7_17.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_7_17.jpg
44.501.892	11.334.452	2018-02-10T12:09:14.000+01:00	stands	12	no	yes	Bologna				5.699.999.809		1518260946973-1528253985-12_9_11.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518260946973-1528253985-12_9_11.jpg
44.495.742	11.337.428	2018-02-10T12:10:03.000+01:00	bollard	32	no	yes	Bologna	Ugo Bassi			1.061.900.043			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
4.450.399	11.343.784	2018-02-10T12:09:26.000+01:00	wall_loops	58	no	yes	Bologna				65		image-12_9_10.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_9_10.jpg
44.498.708	11.327.753	2018-02-10T12:10:47.000+01:00	wide_stands	7	no	private	Bologna	Via Monaldo Calari		Non mappata su OSM	1.866.600.037			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.502.313	1.133.429	2018-02-10T12:11:12.000+01:00	stands	40	no	yes	Bologna				5.300.000.191		1518261061438-1871536886-12_11_7.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518261061438-1871536886-12_11_7.jpg
44.497.883	1.132.787	2018-02-10T12:13:22.000+01:00	wide_stands	10	no	private	Bologna	Via Monaldo Calari	160		1.853.199.959			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.502.043	11.333.892	2018-02-10T12:14:43.000+01:00	stands	8	no	yes	Bologna	Delle Lame			8		1518261236759727079737-12_14_12.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518261236759727079737-12_14_12.jpg
44.495.657	11.337.199	2018-02-10T12:12:28.000+01:00	wall_loops	14	no	yes	Bologna	Ugo Bassi	51	Tipo wall loop	1.061.900.043			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.488.829	11.340.202	2018-02-10T12:17:29.000+01:00	bollard	10	no	yes	Bologna	D'azzeglio			162.329.998		15182613340741978830149-12_15_42.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182613340741978830149-12_15_42.jpg
44.503.257	1.134.237	2018-02-10T12:18:31.000+01:00	wall_loops	6	no	yes	Bologna	Angolo via Gramsci e via Milazzo	160	8 su 8 ok	6		1518261492555-207882095-12_18_25.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518261492555-207882095-12_18_25.jpg
4.450.177	11.334.082	2018-02-10T12:18:52.000+01:00	rack	4	no	yes	Bologna	Delle lame			9.399.999.619		1518261518406-844897748-12_18_44.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518261518406-844897748-12_18_44.jpg
44.495.431	11.329.051	2018-02-10T12:20:32.000+01:00	wide_stands	10	no	yes	Bologna	Via del Pratello	1		1.853.800.011			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.501.285	11.333.715	2018-02-10T12:20:35.000+01:00	stands	22	no	yes	Bologna	Cervellati			8.699.999.809		15182616090552032702852-12_20_27.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182616090552032702852-12_20_27.jpg
44.503.119	11.341.907	2018-02-10T12:21:28.000+01:00	wall_loops	30	no	yes	Bologna			Angolo con via Brugnoli	10		image-12_20_44.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_20_44.jpg
44.488.732	11.339.585	2018-02-10T12:22:22.000+01:00	bollard	12	no	yes	Bologna	Castelfidardo	11	13 su 14	6		15182615277711602277773-12_18_56.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182615277711602277773-12_18_56.jpg
44.487.093	11.343.335	2018-02-10T11:51:57.000+01:00	bollard	8	no	yes	Bologna	savenella	18	Incrocio boccadilupo	5		image-11_51_49.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-11_51_49.jpg
44.493.885	11.338.538	2018-02-10T12:21:59.000+01:00	bollard	6	no	yes	Bologna	Cesare Battisti	1		606.799.984			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.500.425	11.334.183	2018-02-10T12:22:58.000+01:00	stands	8	no	yes	Bologna	Luigi Calori		4 su 4 ok	6.099.999.905			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.498.847	11.331.423	2018-02-10T12:23:57.000+01:00	wall_loops	4	no	yes	Bologna		1	8730	32		20180210_122329-12_23_53.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_122329-12_23_53.jpg
44.500.213	11.333.548	2018-02-10T12:24:00.000+01:00	wall_loops	8	no	yes	Bologna	Luigi Calori			6.599.999.905			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.488.652	11.343.202	2018-02-10T12:24:32.000+01:00	bollard	14	no	yes	Bologna	garibaldi angolo piazza tribunali			5		image-12_24_24.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_24_24.jpg
44.488.681	1.133.793	2018-02-10T12:25:21.000+01:00	bollard	8	no	yes	Bologna	Castelfidardo		Wall loop	9		1518261896277586691183-12_25_14.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518261896277586691183-12_25_14.jpg
44.495.474	1.132.996	2018-02-10T12:25:46.000+01:00	wide_stands	10	no	yes	Bologna	Via del Pratello	1	6852	1.846.299.934			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.489.002	1.134.251	2018-02-10T12:27:35.000+01:00	bollard	4	no	yes	Bologna	mattuiani			5		image-12_27_28.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_27_28.jpg
44.494.057	11.338.897	2018-02-10T12:26:50.000+01:00	bollard	6	no	yes	Bologna	IV novembre	83		1.213.599.968			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.500.045	11.334.658	2018-02-10T12:27:22.000+01:00	stands	6	no	yes	Bologna	Delle lame	59	Giíæ su OSM ma con numero sbagliato	8.899.999.619		15182620230231546651712-12_27_15.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182620230231546651712-12_27_15.jpg
44.499.366	11.335.161	2018-02-10T12:30:30.000+01:00	stands	6	no	yes	Bologna	Delle Lame			1.851.099.968		1518262216232-1451392298-12_30_24.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518262216232-1451392298-12_30_24.jpg
44.502.568	11.340.695	2018-02-10T12:25:45.000+01:00	wall_loops	13	no	yes	Bologna				10		image-12_25_40.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_25_40.jpg
44.493.912	11.340.918	2018-02-10T12:32:47.000+01:00	bollard	18	no	yes	Bologna	Piazza Galileo	54		7.585.000.038			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
4.449.553	1.133.189	2018-02-10T12:33:25.000+01:00	wide_stands	8	no	yes	Bologna	Via del Pratello			1.501.799.965			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.498.567	1.133.577	2018-02-10T12:32:36.000+01:00	stands	10	no	yes	Bologna			Angolo con via san Lorenzo	5.099.999.905		1518262332149-360110716-12_32_30.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518262332149-360110716-12_32_30.jpg
44.502.807	11.339.333	2018-02-10T12:34:00.000+01:00	wall_loops	6	no	yes	Bologna	Via Cairoli			4		15182624215632097032540-12_33_53.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/15182624215632097032540-12_33_53.jpg
44.501.007	11.333.031	2018-02-10T12:34:54.000+01:00	wall_loops	6	no	yes	Bologna				1.947.800.064		20180210_123352-12_34_49.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_123352-12_34_49.jpg
44.500.425	11.332.923	2018-02-10T12:37:41.000+01:00	wall_loops	8	no	yes	Bologna				1.934.499.931		20180210_123655-12_37_37.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_123655-12_37_37.jpg
44.495.553	11.332.585	2018-02-10T12:37:43.000+01:00	wide_stands	10	no	yes	Bologna	Via del Pratello		Non presente	1.960.899.925			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.493.242	11.340.686	2018-02-10T12:37:51.000+01:00	bollard	20	no	yes	Bologna	Piazza Galileo			4.551.000.118			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.497.895	1.133.622	2018-02-10T12:38:27.000+01:00	stands	4	no	yes	Bologna	Delle Lame			9.199.999.809		1518262690355-593711536-12_38_21.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/1518262690355-593711536-12_38_21.jpg
44.495.602	11.333.591	2018-02-10T12:40:37.000+01:00	wide_stands	6	no	yes	Bologna	Via del Pratello			1.932.099.915			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.493.006	11.340.686	2018-02-10T12:40:21.000+01:00	bollard	10	no	yes	Bologna	Piazza Galileo	25	6853	606.799.984			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.495.561	11.333.726	2018-02-10T12:42:08.000+01:00	wide_stands	26	no	yes	Bologna	Via del Pratello			1.559.899.998			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.502.037	1.133.957	2018-02-10T12:38:43.000+01:00	wall_loops	26	no	yes	Bologna		4		50		image-12_38_38.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_38_38.jpg
44.495.118	11.334.688	2018-02-10T12:45:33.000+01:00	wide_stands	4	no	yes	Bologna	Piazza San Francesco			1.854.899.979			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.502.438	11.339.901	2018-02-10T12:31:40.000+01:00	wall_loops	18	no	yes	Bologna				10		image-12_30_59.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_30_59.jpg
44.501.927	11.337.432	2018-02-10T12:45:52.000+01:00	wall_loops	14	no	yes	Bologna			Alcuni anelli sono rotti, 5601	10		image-12_45_35.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/image-12_45_35.jpg
44.493.773	11.341.265	2018-02-10T12:46:23.000+01:00	bollard	46	no	yes	Bologna		4		4.551.000.118			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.494.951	11.334.682	2018-02-10T12:48:27.000+01:00	wide_stands	16	no	yes	Bologna	Piazza San Francesco			1.969.199.944			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.500.544	11.334.291	2018-02-10T12:41:49.000+01:00	wall_loops	8	no	yes	Bologna			7 su 8 ok	1.883.399.963		20180210_124111-12_41_45.jpg	https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/20180210_124111-12_41_45.jpg
4.449.374	11.341.692	2018-02-10T12:50:13.000+01:00	bollard	32	no	yes	Bologna	IV Novembre	2	12 su 12 ok	1.668.700.027			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.494.948	11.334.712	2018-02-10T12:50:21.000+01:00	wide_stands	4	no	yes	Bologna	Via de Marchi			1.640.399.933			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
44.495.548	11.342.109	2018-02-10T12:57:23.000+01:00	bollard	18	no	yes	Bologna	Montegrappa	24		1.517.000.008			https://ondata.github.io/rastrellierebologna/img/	https://ondata.github.io/rastrellierebologna/img/
